,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
402,2012/12,2.6,2.2,3.3,1,2.8,3.4,0.8,7.1,8276923,11358541,5456691,15146548,797374,4659317,5572761,329089
403,2013/01,2.7,2.3,3.6,1.1,3.1,3.6,0.8,6.2,8299554,11385130,5467312,15171650,797297,4670015,5589820,327998
404,2013/02,2.9,2.4,3.8,1.3,3,4,0.8,7.7,8282805,11365785,5444604,15150081,787715,4656889,5587456,333725
405,2013/03,3,2.5,4,1.4,2.8,4.3,0.8,6.1,8338735,11414268,5520683,15201574,791802,4728881,5569671,323914
406,2013/04,3.2,2.6,4,1.9,2.8,4.2,1,6.3,8437335,11516195,5608485,15375154,792893,4815592,5575952,331758
407,2013/05,3.5,2.8,4.4,2.6,3,4.7,1.1,4.3,8440305,11518374,5603539,15453738,792934,4810605,5592494,322341
408,2013/06,3.8,3.1,5.2,2.9,3.1,5.5,1.2,-0.1,8496379,11585000,5627126,15525045,790808,4836318,5618752,339122
409,2013/07,3.7,3,5.3,3,2.9,5.6,1.1,-1.8,8505401,11608340,5633167,15541061,797065,4836102,5640292,334881
410,2013/08,3.8,3,5.2,3,3.1,5.6,1.2,-0.2,8498909,11602679,5615221,15532775,798493,4816728,5649746,337712
411,2013/09,3.8,3.1,5.1,3.2,3.1,5.5,1.1,3.8,8507913,11610682,5624546,15541995,795957,4828589,5645445,340691
412,2013/10,4.1,3.3,5.5,3.4,3.2,5.9,1.2,3.1,8520882,11625774,5649505,15563456,798884,4850621,5639117,337152
413,2013/11,4.3,3.5,5.8,3.7,3.4,6.2,1.2,5.6,8550157,11655386,5664121,15604762,802912,4861209,5632210,359055
414,2013/12,4.2,3.4,5.7,3.7,3.4,6.1,1,5.4,8627674,11745546,5769353,15706325,824527,4944826,5629294,346899
415,2014/01,4.3,3.5,5.9,3.7,3.5,6.3,0.9,6.4,8658882,11778517,5789015,15739677,825006,4964009,5640501,349001
416,2014/02,4,3.2,5.4,3.6,3.5,5.7,0.9,4.1,8611077,11726815,5739022,15689995,815234,4923788,5640324,347469
417,2014/03,3.5,2.9,5,3.3,3.8,5.2,0.7,2.9,8634439,11739845,5798442,15710549,821584,4976858,5608028,333375
418,2014/04,3.4,2.8,5,3.2,3.3,5.3,0.6,1.7,8728308,11835518,5888099,15869268,818789,5069310,5610107,337312
419,2014/05,3.3,2.6,4.7,3,3.4,5,0.5,4.1,8716091,11823445,5869597,15920924,819825,5049772,5618149,335699
420,2014/06,3,2.5,4.3,2.9,3.4,4.4,0.4,6.8,8753539,11872062,5868525,15975440,817541,5050984,5641247,362290
421,2014/07,3,2.4,4,2.9,3.4,4.1,0.4,9.5,8757077,11891727,5859524,15997890,824324,5035200,5665531,366672
422,2014/08,3,2.5,4.2,3,3.6,4.3,0.4,8.3,8751629,11887733,5851045,16000841,826856,5024189,5670855,365833
423,2014/09,3,2.5,4.2,3.1,3.6,4.3,0.4,9.1,8767152,11901050,5860154,16031115,824379,5035775,5669171,371725
424,2014/10,3.1,2.6,4.3,3.2,3.6,4.4,0.5,9.8,8788034,11927419,5889989,16061880,827933,5062056,5667198,370232
425,2014/11,3.6,2.9,4.8,3.4,3.7,5,0.7,7.5,8854000,11993459,5936954,16133149,833008,5103946,5670592,385913
426,2014/12,3.5,2.9,4.6,3.3,3.6,4.8,0.7,9.2,8931353,12085313,6036426,16229240,854089,5182337,5669951,378936
427,2015/01,3.3,2.8,4.4,3.1,3.6,4.5,0.8,8.7,8946578,12104783,6042467,16233222,855102,5187365,5682848,379468
428,2015/02,3.5,2.9,4.9,3.1,3.8,5,0.7,5.2,8908583,12065566,6018812,16178941,846570,5172242,5681060,365694
429,2015/03,3.6,3,5,3.2,3.7,5.2,0.8,5.7,8943131,12093214,6085831,16213194,851957,5233874,5655007,352376
430,2015/04,3.6,3,4.9,3.5,4.3,5,0.9,4,9040704,12191441,6178161,16423802,853669,5324492,5662442,350838
431,2015/05,4.1,3.3,5.6,4,4.6,5.8,0.9,3.4,9070027,12215160,6201155,16557689,857156,5343999,5666861,347144
432,2015/06,3.8,3.1,5.4,3.9,4.7,5.5,0.8,2.5,9090087,12244585,6185020,16601329,856243,5328777,5688065,371500
433,2015/07,3.9,3.2,5.6,3.9,5.1,5.6,0.7,3,9102447,12271255,6185561,16629283,866576,5318985,5707854,377840
434,2015/08,4.1,3.3,5.6,4,5.3,5.7,0.9,3.8,9112081,12281934,6181187,16642449,870557,5310630,5721021,379726
435,2015/09,3.8,3,5.3,3.7,5.8,5.2,0.8,2.1,9096904,12263554,6170147,16622670,872119,5298028,5714018,379389
436,2015/10,3.6,2.9,5.3,3.5,6.1,5.2,0.5,1.6,9105777,12273462,6202103,16630328,878248,5323855,5695163,376196
437,2015/11,3.3,2.7,4.8,3.3,6.2,4.6,0.5,2.3,9145928,12313182,6221647,16668885,884439,5337208,5696700,394835
438,2015/12,3.1,2.5,4.5,3.2,6.3,4.2,0.3,3.3,9206476,12386000,6305980,16740912,907862,5398118,5688621,391399
439,2016/01,3.1,2.5,4.5,3.3,6.4,4.1,0.4,3.5,9226554,12411437,6311912,16763628,910020,5401892,5706947,392578
440,2016/02,3.1,2.5,4.7,3.2,6.7,4.4,0.3,-0.3,9183408,12367839,6304091,16694726,902929,5401162,5698975,364773
441,2016/03,3,2.5,5.4,3,6.7,5.2,0,-7.9,9214352,12393702,6413357,16697719,908995,5504362,5655753,324592
442,2016/04,3.3,2.7,6.7,2.4,6.8,6.7,-0.6,-14.4,9337483,12520875,6591042,16821748,911885,5679157,5629458,300375
443,2016/05,3.3,2.8,6.8,1.8,6.4,6.8,-0.5,-14.1,9368340,12555159,6620864,16849929,911632,5709232,5635979,298316
444,2016/06,3.3,2.9,7.1,1.6,6.1,7.2,-0.8,-12.1,9394599,12594721,6623091,16868379,908758,5714333,5644905,326725
445,2016/07,3.3,2.9,7.5,1.5,5.9,7.8,-1,-14.6,9404959,12623788,6651193,16876622,917462,5733731,5649970,322625
446,2016/08,3.2,2.8,7.5,1.4,5.6,7.9,-1.2,-15.3,9399942,12621687,6647099,16877482,919504,5727595,5652986,321602
447,2016/09,3.4,3,7.9,1.6,5.2,8.3,-1.2,-14.5,9407430,12625523,6656996,16885866,917500,5739496,5644117,324410
448,2016/10,3.6,3.1,8.2,1.7,4.9,8.8,-1.3,-16.9,9429381,12649217,6713560,16906802,921598,5791962,5623086,312571
449,2016/11,3.8,3.3,8.7,1.9,4.6,9.4,-1.3,-16.7,9494509,12716022,6764869,16984260,924857,5840012,5622412,328741
450,2016/12,3.9,3.3,9.1,2.1,4.4,9.9,-1.5,-19.1,9563427,12800804,6878435,17094339,948062,5930373,5605814,316555
451,2017/01,3.9,3.4,9.5,2.2,4.3,10.4,-1.8,-19.4,9590487,12833922,6912194,17134428,949567,5962627,5605139,316589
452,2017/02,4.1,3.5,9.5,2.4,4.4,10.3,-1.9,-14.7,9561292,12803148,6900633,17094057,943034,5957599,5591193,311322
453,2017/03,4.2,3.5,8.7,2.5,4.4,9.4,-1.8,-5.8,9597629,12832462,6972738,17119557,949163,6023575,5553848,305876
454,2017/04,3.9,3.3,7.7,2.7,4.2,8.3,-1.7,1.2,9702896,12938605,7101689,17269514,950455,6151234,5532890,304026
455,2017/05,3.8,3.2,7.6,3,4.4,8.1,-1.6,-1.8,9723663,12961343,7124084,17347208,952054,6172030,5544299,292960
456,2017/06,3.9,3.3,7.6,3.2,4.6,8.1,-1.5,-1.2,9763583,13013826,7129497,17404144,950478,6179019,5561526,322803
457,2017/07,4,3.4,7.5,3.5,4.5,8,-1.3,0.2,9781486,13047848,7150693,17460384,959053,6191640,5573861,323294
458,2017/08,4,3.4,7.5,3.5,4.7,7.9,-1.3,-0.4,9776216,13045399,7142856,17474791,962492,6180364,5582229,320314
459,2017/09,4,3.4,7.6,3.6,4.7,8.1,-1.3,-0.6,9788225,13057024,7166146,17489754,960605,6205541,5568566,322312
460,2017/10,4.1,3.4,7.5,3.6,4.7,7.9,-1.2,-0.3,9813059,13083945,7217045,17521102,965326,6251719,5555250,311650
461,2017/11,4,3.4,7.4,3.5,4.8,7.8,-1.2,0.3,9874847,13145797,7263113,17575856,969636,6293477,5552948,329736
462,2017/12,3.6,3.1,6.8,3,4.5,7.2,-1.3,-0.1,9905721,13192095,7345538,17609228,990889,6354649,5530437,316120
463,2018/01,3.4,2.9,6.7,2.8,4.5,7,-1.5,-0.9,9917009,13206997,7371927,17615547,992386,6379541,5521380,313690
464,2018/02,3.2,2.7,6.3,2.5,4.5,6.6,-1.4,-2.1,9865773,13152045,7337047,17528046,985695,6351352,5510316,304682
465,2018/03,3.1,2.6,6.2,2.4,4.3,6.5,-1.5,-4.8,9890903,13169126,7406615,17524970,989655,6416960,5471292,291219
466,2018/04,3.2,2.7,6.3,2.5,4.3,6.6,-1.4,-3.7,10010867,13292729,7545588,17700076,991187,6554401,5454473,292668
467,2018/05,3.2,2.7,6.2,2.4,4,6.5,-1.4,-3.9,10031511,13312552,7565323,17768322,990460,6574863,5465651,281578
468,2018/06,3.1,2.7,6.5,2.3,4.2,6.9,-1.7,-7.2,10066296,13360470,7593071,17801630,989995,6603076,5467789,299610
469,2018/07,2.9,2.5,6.3,2,4,6.7,-1.9,-5.5,10068028,13379294,7603904,17818225,997324,6606580,5470036,305354
470,2018/08,2.9,2.5,6.3,1.9,3.8,6.7,-2,-4.3,10056582,13370132,7591960,17810971,999273,6592687,5471531,306641
471,2018/09,2.8,2.5,6.2,1.9,3.9,6.6,-2,-4.1,10065900,13378670,7610156,17820009,997874,6612282,5459371,309143
472,2018/10,2.7,2.3,5.8,1.8,3.7,6.2,-2,-2.5,10074396,13388535,7639033,17827937,1000641,6638392,5445620,303882
473,2018/11,2.3,2.1,5.5,1.6,3.5,5.8,-2.1,-3.3,10105049,13419958,7664868,17850378,1003606,6661262,5436262,318828
474,2018/12,2.4,2.1,5.4,1.6,3.4,5.7,-1.9,-5,10142429,13469683,7742591,17889378,1024489,6718102,5426880,300212
475,2019/01,2.3,2,5.2,1.5,3.3,5.5,-1.7,-5.3,10147973,13477055,7754561,17886874,1024662,6729899,5425301,297193
476,2019/02,2.4,2.1,5.4,1.7,3.1,5.7,-2,-4.1,10097697,13423539,7730901,17832603,1016323,6714578,5400523,292115
477,2019/03,2.4,2.1,5.5,1.9,3.1,5.9,-2.1,-6.7,10125050,13440891,7813445,17860171,1020662,6792783,5355613,271833
478,2019/04,2.4,2.1,5.7,1.8,3.5,6,-2.3,-9.4,10252191,13567501,7974190,18013510,1025999,6948191,5328218,265093
479,2019/05,2.5,2.2,5.9,1.6,3.5,6.3,-2.5,-6.9,10286310,13602690,8012372,18057372,1025168,6987204,5328284,262034
480,2019/06,2.2,1.9,5,1.5,2.6,5.4,-2.2,-1.9,10289611,13616152,7975402,18069005,1015404,6959998,5346721,294029
481,2019/07,2.2,1.9,4.8,1.5,2.4,5.2,-1.9,-2.5,10290435,13631830,7970276,18090680,1021075,6949201,5363852,297702
482,2019/08,2.3,1.9,5,1.5,2.4,5.4,-2,-4.6,10284205,13626135,7970276,18080553,1023296,6946980,5363416,292443
483,2019/09,2.3,1.9,5,1.5,2.2,5.5,-2.1,-3.7,10295668,13634939,7993063,18089266,1019891,6973172,5344090,297786
484,2019/10,2.3,1.9,5,1.5,1.9,5.5,-2.2,-3.7,10304091,13643724,8023157,18102987,1020134,7003023,5327923,292644
485,2019/11,2.6,2.1,5.5,1.8,1.9,6,-2.2,-3.9,10365381,13706709,8082871,18169756,1022669,7060202,5317317,306521
486,2019/12,2.6,2.2,5.7,1.9,1.8,6.2,-2.6,-1.9,10404214,13762321,8180068,18232791,1042840,7137228,5287726,294527
487,2020/01,2.6,2.2,5.8,2.1,2,6.4,-2.7,-2.7,10416148,13775113,8205470,18253920,1044918,7160552,5280465,289178
488,2020/02,2.8,2.4,6,2.2,1.9,6.6,-2.6,-1.4,10384810,13740459,8191377,18233348,1035723,7155654,5260924,288158
489,2020/03,3.1,2.6,6.2,2.4,1.7,6.8,-2.6,1.6,10442899,13790749,8295745,18293797,1038010,7257735,5218845,276159
490,2020/04,3.7,3,7.1,2.4,1.7,7.9,-2.9,-0.1,10630037,13978017,8539371,18451382,1043803,7495568,5173841,264805
491,2020/05,5.1,4.2,9.2,3.1,2.5,10.2,-2.8,-7.4,10812699,14170023,8750740,18609036,1050824,7699916,5176519,242764
492,2020/06,7.3,5.9,12.3,4.4,4.6,13.5,-2.7,-9.8,11036494,14425302,8958961,18863032,1062279,7896682,5201174,265167
493,2020/07,7.9,6.5,13.2,4.8,5.5,14.3,-2.6,-5.6,11102775,14524277,9019974,18952354,1077484,7942490,5223311,280992
494,2020/08,8.6,7.1,14,5.2,5.5,15.3,-2.5,-4.7,11168053,14599821,9089419,19022687,1079153,8010266,5231786,278616
495,2020/09,9,7.5,14.3,5.4,5.7,15.5,-2.1,-3.5,11219593,14652371,9134814,19074701,1077732,8057082,5230131,287426
496,2020/10,9,7.5,14.1,5.4,6,15.2,-2,2.1,11232567,14671488,9152514,19089004,1081594,8070920,5220158,298816
497,2020/11,9.1,7.6,14,5.5,6,15.2,-2.1,5.8,11306001,14747880,9217980,19164760,1084236,8133744,5205559,324341
498,2020/12,9.2,7.6,13.9,5.5,5.7,15.1,-2.1,9.3,11359680,14813455,9314014,19233451,1102279,8211735,5177415,322026
499,2021/01,9.4,7.9,14.3,5.6,5.7,15.6,-2.2,9.2,11400194,14860492,9379439,19283353,1104297,8275142,5165150,315903
500,2021/02,9.6,8.1,14.6,5.7,6.1,15.8,-2.2,7.8,11384748,14846612,9388262,19271147,1099087,8289175,5147810,310540
501,2021/03,9.5,8,14.1,5.6,6.2,15.3,-2.1,15.8,11436375,14895043,9467804,19310782,1102217,8365587,5107553,319686
502,2021/04,9.3,7.9,13.1,6.7,5.7,14.2,-1.8,27.8,11617797,15082268,9661557,19681004,1103518,8558039,5082346,338365
503,2021/05,8,6.9,11.4,7.1,5.1,12.3,-2,33.1,11675413,15145502,9747587,19928903,1104096,8643491,5074752,323163
504,2021/06,5.9,5.2,8.6,5.8,3.9,9.2,-2.3,38.1,11690901,15176271,9728780,19950916,1103314,8625466,5081393,366098
505,2021/07,5.3,4.6,8,5.4,3.3,8.7,-2.6,30.3,11690056,15195437,9744263,19970340,1112590,8631673,5085130,366044
506,2021/08,4.7,4.1,7.3,5,3.2,7.8,-2.9,31.3,11688405,15198803,9752890,19974606,1114050,8638840,5079977,365936
507,2021/09,4.2,3.7,6.9,4.8,3.3,7.4,-3,24,11691501,15200540,9769516,19989241,1112936,8656580,5074634,356390
508,2021/10,4.2,3.7,7.2,4.8,3.2,7.8,-3.2,17.3,11705647,15218135,9814220,20011250,1116689,8697531,5053388,350527
509,2021/11,4,3.5,7.1,4.7,3.3,7.6,-3.2,10.6,11756672,15269876,9870813,20057404,1120366,8750447,5040406,358657
510,2021/12,3.7,3.3,6.8,4.5,3.3,7.3,-3.1,6.2,11782086,15309517,9951946,20100047,1138999,8812947,5015461,342110
511,2022/01,3.6,3.3,6.6,4.3,3.3,7,-3.1,8.2,11813179,15344038,9996112,20112182,1140374,8855738,5006136,341790
512,2022/02,3.6,3.2,6.4,4.1,3,6.8,-3.1,10.4,11789009,15318344,9986690,20052554,1132597,8854093,4988837,342817
513,2022/03,3.5,3.1,6.3,4.2,3.2,6.7,-2.9,6.5,11833171,15359322,10059651,20113437,1137532,8922119,4959186,340485
514,2022/04,3.4,3.1,6,4,3.3,6.4,-2.6,6.3,12018499,15551700,10241465,20469044,1139880,9101585,4950481,359754
515,2022/05,3.1,2.9,5.5,3.4,3.2,5.8,-2.5,8.2,12042833,15578980,10283414,20611901,1139688,9143726,4945905,349661
516,2022/06,3.3,2.9,5.6,3.5,3.1,5.9,-2.3,4.8,12078178,15623264,10275588,20655717,1137506,9138082,4963924,383752
517,2022/07,3.4,3,5.6,3.7,2.9,5.9,-2.1,5,12088016,15648341,10287868,20707702,1144796,9143072,4975962,384511
518,2022/08,3.4,3,5.5,3.8,2.9,5.9,-2.1,4,12088202,15649767,10293335,20733021,1146599,9146736,4975705,380727
519,2022/09,3.3,2.8,5.3,3.8,2.9,5.6,-2.2,6.2,12075500,15632476,10289398,20741760,1145554,9143844,4964472,378606
520,2022/10,3.1,2.6,5,3.6,2.8,5.2,-2,4.8,12064408,15619677,10300549,20727062,1147612,9152937,4951774,367354
521,2022/11,3.1,2.7,5,3.5,2.6,5.3,-1.6,-1.2,12124935,15677345,10363893,20763807,1149828,9214065,4959027,354425
522,2022/12,2.9,2.5,4.8,3.3,2.6,5,-1.4,-5.4,12128301,15693481,10425610,20767400,1168296,9257314,4944164,323707
523,2023/01,2.7,2.3,4.5,3.3,2.5,4.8,-1.3,-9.5,12132455,15696317,10448504,20776237,1169255,9279249,4938565,309248
524,2023/02,2.6,2.2,4.3,3.5,2.3,4.6,-1.4,-10.5,12091386,15648243,10420143,20746305,1158650,9261493,4921351,306749
525,2023/03,2.5,2.1,4.4,3.4,1.8,4.8,-1.6,-12.5,12134406,15681922,10505299,20795753,1158138,9347161,4878626,297997
526,2023/04,2.6,2.1,4.4,2.7,1.5,4.8,-1.8,-11.5,12326939,15873481,10696137,21018684,1157015,9539122,4858902,318442
527,2023/05,2.6,2.1,4.4,2.3,1.3,4.8,-1.7,-11.3,12360428,15904516,10734206,21085728,1154957,9579249,4860004,310306
528,2023/06,2.6,2,4.3,2.4,1.1,4.7,-1.5,-13.7,12392324,15942425,10719688,21153837,1150142,9569546,4891467,331270
529,2023/07,2.5,1.9,4.1,2.3,0.9,4.5,-1.3,-15.1,12388936,15949800,10713085,21174231,1155383,9557702,4910436,326279
530,2023/08,2.5,1.9,4.2,2.1,0.8,4.6,-1.5,-17.1,12385266,15943646,10725889,21162009,1155804,9570085,4902275,315482
531,2023/09,2.4,1.8,4.2,2,0.6,4.7,-1.6,-17.9,12363619,15918249,10722400,21151997,1152002,9570398,4884965,310884
532,2023/10,2.4,1.8,4.1,2,0.4,4.6,-1.4,-18.8,12353137,15905213,10723802,21144990,1152143,9571659,4883181,298230
533,2023/11,2.3,1.7,3.8,1.9,0.2,4.3,-1.7,-12.9,12399055,15943279,10762053,21165217,1151588,9610465,4872603,308623
534,2023/12,2.3,1.7,3.8,2,-0.1,4.3,-2,-9.9,12409742,15962439,10826276,21178720,1167685,9658591,4844472,291691
535,2024/01,2.5,1.8,3.9,2.2,-0.3,4.5,-1.9,-10.2,12430886,15981678,10858690,21223500,1165574,9693116,4845426,277562
536,2024/02,2.4,1.8,3.9,2.1,-0.4,4.5,-1.9,-12.9,12387111,15928651,10831498,21179350,1154491,9677007,4829906,267247
537,2024/03,2.5,1.9,4,2,-0.6,4.6,-1.9,-12.4,12443081,15972247,10926868,21204090,1151705,9775163,4784262,261117
538,2024/04,2.2,1.6,3.6,2.7,-0.8,4.2,-1,-27.1,12599872,16125677,11085375,21581141,1147757,9937618,4808037,232265
539,2024/05,1.8,1.3,2.8,3.4,-1.2,3.3,-0.3,-26.6,12588848,16105928,11034350,21792760,1141369,9892981,4843954,227624
540,2024/06,1.5,1,2.5,3.2,-1.5,3,-0.6,-26.8,12574420,16094805,10988661,21829946,1132935,9855726,4863786,242358
541,2024/07,1.5,1,2.4,3.3,-1.9,2.9,-0.4,-26,12569139,16101589,10969025,21866351,1132948,9836077,4890988,241576
542,2024/08,1.3,0.8,2.2,3.2,-2.1,2.7,-0.6,-24,12548351,16074101,10961652,21841403,1131842,9829810,4872525,239924
543,2024/09,1.2,0.7,1.9,3.2,-2.2,2.3,-0.4,-20.4,12517047,16034743,10920864,21824179,1126191,9794673,4866356,247523
544,2024/10,1.2,0.7,1.5,3.2,-2.5,2,0.2,-20,12500641,16013877,10884697,21827063,1123840,9760857,4890701,238479
545,2024/11,1.2,0.7,1.4,3.4,-2.6,1.9,0.5,-20.2,12549271,16058938,10913656,21893955,1121340,9792316,4898989,246293
546,2024/12,1.3,0.8,1.3,3.6,-2.7,1.8,1,-19.2,12576036,16097395,10969519,21942494,1136303,9833216,4892053,235823
547,2025/01,1.3,0.8,1.1,3.5,-2.6,1.5,1.2,-17.2,12594584,16107730,10973524,21959466,1135095,9838429,4904289,229917
548,2025/02,1.2,0.7,0.8,3.4,-2.6,1.2,1.4,-18.4,12532312,16033407,10919164,21892853,1123968,9795196,4896038,218205
549,2025/03,0.8,0.4,0.1,3.3,-2.6,0.5,1.9,-18.1,12546125,16028951,10941288,21901304,1122103,9819185,4873709,213954
550,2025/04,0.5,0.1,-0.6,2.3,-2.6,-0.4,2,-5.4,12661783,16140771,11016430,22069738,1117879,9898551,4904506,219835
551,2025/05,0.6,0.2,-0.3,1.5,-2.4,-0.1,1.7,-6,12670431,16141611,10999562,22122702,1114052,9885510,4928041,214008
552,2025/06,0.8,0.4,-0.3,1.5,-2.1,-0.1,2.2,-5.6,12681276,16155376,10956687,22161904,1109404,9847283,4970015,228674
553,2025/07,1,0.6,-0.7,1.7,-1.8,-0.6,3.7,-6.6,12696115,16190668,10894655,22233545,1112682,9781973,5070479,225534
554,2025/08,1.3,0.8,-0.7,2,-1.6,-0.6,4.4,-3.4,12712303,16202080,10882193,22275348,1113894,9768299,5088027,231860
555,2025/09,1.5,1,-0.8,2.2,-1.5,-0.7,5.1,-2.8,12708428,16194229,10838397,22294617,1108760,9729637,5115118,240714
556,2025/10,1.6,1.1,-0.6,2.2,-1.4,-0.6,5,-0.6,12701945,16184789,10814821,22303879,1108277,9706544,5133004,236964
557,2025/11,1.7,1.2,-0.6,2.2,-1.2,-0.5,5,2.1,12766804,16244120,10850751,22377581,1108321,9742430,5141950,251419
558,2025/12,1.7,1.1,-0.5,2.1,-1.1,-0.5,4.9,-0.8,12789051,16274233,10909548,22411193,1123443,9786105,5130633,234052
559,2026/01,1.6,1,-0.5,2,-1.1,-0.4,4.4,0.6,12791117,16271984,10919592,22403504,1122747,9796845,5121055,231337
